SENTTOT,SENTTOT0,CITIZEN,CITWHERE,CRIMHIST,DISTRICT,DOBMON,EDUCATN,ENCRYPT2,HISPORIG,INOUT,NEWRACE,OFFTYPSB,SENTIMP,SENTMON,DOBYR,SENTYR
14,14,3,30,1,4,12,12,0,2,,3,27,1,10,1992,2016
14,14,1,211,1,25,7,21,0,1,0,1,10,1,10,1967,2016
27,27,1,211,1,42,4,21,0,1,,1,10,1,10,1965,2016
11.62,11.62,3,49,0,72,12,4,0,2,0,3,35,1,10,1973,2016
36,36,1,211,1,64,7,34,0,1,,1,6,1,10,1993,2016
5,5,1,211,0,42,4,6,0,2,,3,27,2,10,1989,2016
48,48,1,211,1,35,12,16,0,1,,2,18,1,10,1965,2016
6.62,6.62,3,49,1,49,6,21,0,2,0,3,18,1,10,1982,2016
84,84,1,211,1,47,11,10,0,1,,2,10,1,10,1982,2016
14,14,1,211,1,25,3,10,0,1,0,1,18,1,10,1959,2016
57,57,1,211,1,55,12,21,0,1,,1,13,1,10,1981,2016
87,87,1,211,1,42,5,9,0,2,,3,10,1,10,1997,2016
0.03,0.03,1,211,,46,11,,0,1,0,2,35,1,10,1989,2016
57,57,1,211,1,77,10,21,0,2,,3,13,1,10,1977,2016
6,6,2,49,0,42,2,16,0,2,0,3,10,1,10,1996,2016
60,60,1,211,1,77,9,33,0,1,,1,10,1,10,1977,2016
72,72,1,211,1,68,9,21,0,1,,2,10,1,10,1970,2016
15,15,3,49,1,30,2,12,0,2,,3,13,1,10,1988,2016
78,78,1,211,1,13,7,12,0,1,,2,24,1,10,1989,2016
120,120,1,211,1,64,1,34,0,1,,1,10,1,10,1978,2016
1.12,1.12,3,49,1,84,2,9,0,2,0,3,27,1,10,1980,2016
36,36,1,211,1,49,1,9,0,1,,1,10,1,10,1970,2016
60,60,1,211,1,77,3,12,0,1,,2,4,1,10,1972,2016
27,27,1,211,1,87,1,34,0,2,,3,23,1,10,1973,2016
94,94,3,49,1,68,12,21,0,2,,3,10,1,10,1970,2016
,0,1,211,1,66,3,23,0,0,,1,10,4,10,1981,2016
2.16,2.16,3,49,1,84,5,0,0,2,,3,27,1,10,1979,2016
8,8,3,49,1,42,6,10,0,2,0,3,27,1,10,1992,2016
,0,1,211,1,66,3,12,0,0,1,1,23,4,10,1987,2016
87,87,1,211,0,40,1,34,0,2,,3,10,1,10,1992,2016
37,37,3,49,1,84,10,6,0,2,,3,10,1,10,1974,2016
1.92,1.92,3,49,1,84,8,8,0,2,,3,27,1,10,1969,2016
0.66,0.66,3,49,1,84,10,12,0,2,0,3,27,1,10,1991,2016
,,1,211,,87,6,,0,1,1,6,31,0,10,1986,2016
240,240,1,211,0,40,7,12,0,2,,3,10,1,10,1974,2016
10,10,2,49,0,42,5,9,0,2,,3,10,1,10,1983,2016
96,96,1,211,1,42,12,21,0,2,,3,10,1,10,1989,2016
188,188,1,211,1,40,10,34,0,1,,1,10,1,10,1967,2016
18,18,3,49,1,70,2,9,0,2,,3,27,1,10,1986,2016
5.33,5.33,3,37,1,20,6,8,0,2,0,3,27,1,10,1967,2016
2,2,3,37,1,84,3,6,0,2,,3,27,1,10,1994,2016
42,42,1,211,0,46,1,16,0,1,,1,18,1,10,1948,2016
96,96,1,211,1,17,7,21,0,1,,2,13,1,10,1982,2016
135,135,3,49,0,40,9,12,0,2,,3,10,1,10,1988,2016
12,12,1,211,1,46,11,34,0,1,0,2,22,1,10,1979,2016
60,60,1,211,1,19,1,7,0,2,,3,10,1,10,1994,2016
46,46,1,211,1,45,3,9,0,1,,2,13,1,10,1971,2016
